Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
3.780569076,135.7436,121.4577,-32.91982,-1.054711,0.215349,0.619629,19.26024,20.95192,5.572054,882.6431
3.800391197,-0.5776061,-70.30182,-0.06368566,0.1326763,0.7122043,-0.748996,19.26024,20.95192,5.572054,882.6431
3.820213795,35.04401,29.55451,10.39888,-0.2964041,-0.514827,-1.576569,29.41198,25.7338,-12.33204,882.6483
3.840032101,-7.178814,-37.84115,7.46202,0.2622089,0.4841455,-1.024578,29.41198,25.7338,-12.33204,882.6483
3.859855175,82.87163,114.5649,-9.853222,-0.8710073,-0.2161376,-2.086282,29.41198,25.7338,-12.33204,882.65
3.879677772,-51.20763,-88.85918,27.53057,0.2612364,-0.2957121,0.4975001,22.78122,30.97336,-8.933822,882.65
3.901978016,26.51226,59.59977,-2.939362,-0.2672442,-0.01076423,-1.793233,22.78122,30.97336,-8.933822,882.6484
3.921800613,-21.37764,30.20254,-8.017684,0.05066464,0.3756268,-0.9962835,21.78451,32.13383,-4.763848,882.6484
3.941623211,-34.76688,-15.51339,8.13505,-0.02143879,0.6135862,-1.501394,21.78451,32.13383,-4.763848,882.652
3.961445332,38.90509,15.88686,15.35483,0.7715791,-1.925291,0.8980914,21.78451,32.13383,-4.763848,882.652
3.981268406,67.98777,211.888,-16.09405,-0.3187708,-0.3006026,-4.130871,35.59048,24.71466,-27.99943,882.6537
4.001091003,25.14219,-157.1974,-13.27956,1.679713,-0.08807312,0.2207278,35.59048,24.71466,-27.99943,882.6537
4.020913601,-147.4856,69.61486,27.4082,-1.168603,-0.5278313,-2.868935,12.11312,22.86998,0.1995845,882.6537
4.040731907,-22.18722,-5.203739,-15.42102,-0.3221243,0.7748861,-0.6464432,12.11312,22.86998,0.1995845,882.6537
4.060554981,-101.7754,92.23717,-1.165008,0.4101081,-0.5159005,-2.268251,12.11312,22.86998,0.1995845,882.6555
4.080377579,50.42607,-105.767,-15.29865,0.3900667,0.9294465,-0.243489,25.04704,26.54866,-10.5799,882.6555
4.100200176,-136.2137,103.1359,7.706758,-1.101815,0.562791,-1.731135,25.04704,26.54866,-10.5799,882.6555
4.120022297,132.0693,28.37626,-10.83218,-0.08438354,0.196628,-0.2929384,13.93136,24.2993,0.1381783,882.6555
4.139844894,1437.863,1328.158,-261.5055,3.4299,3.294319,4.065805,13.93136,24.2993,0.1381783,882.6572
4.159667969,-125.2533,1930.124,-214.3321,2.728742,-2.637022,-15.70528,13.93136,24.2993,0.1381783,882.6572
4.181968212,-16.08422,1386.776,101.5027,-3.861094,1.95357,-6.971664,0.6013088,2.522399,57.25797,882.652
4.201790810,566.4413,-178.7593,-52.31533,-1.493395,-1.108742,5.288573,0.6013088,2.522399,57.25797,882.652
4.221613407,246.0959,127.2311,6.727805,-1.35945,-0.7919859,-3.576664,1.632317,-8.761675,35.15231,882.652
4.241431713,465.0566,-151.0706,-56.10878,-4.672126,-3.747444,-1.129262,1.632317,-8.761675,35.15231,882.652
4.261254311,385.3439,51.70552,-1.042639,0.4755058,1.423697,1.433649,1.632317,-8.761675,35.15231,882.652
4.281077385,-193.9432,199.9877,36.46352,-3.19665,3.782547,2.479631,3.060938,19.36764,5.483238,882.652
4.300899506,-14.3405,58.59826,18.53643,0.7016482,-2.280391,-0.09098767,3.060938,19.36764,5.483238,882.652
